author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
决i穆,14730,17898,32197,84931401,38616,47,影视,2208,999077,7876,"影视混剪,陈情令,锦衣之下,香蜜沉沉烬如霜,古装,混剪",【风花雪月】【承包了夏天与冬天的古装男神们】【润玉/魏无羡/蓝忘机/陆绎】,405086
温瞳vantal,36682,3456,17062,84415112,51101,46,影视,1774,1002218,3479,"爱情公寓,胡一菲,电视剧,彩蛋,影评杂谈,细节",爱情公寓5中细节及彩蛋解析,930836
白日妄想家,16216,978,31099,83832435,34627,45,影视,509,1002986,3987,"影视混剪,超级英雄,倪妮,张曼玉,DC,伊娃格林,女神,章子怡,欧美群像,电影剪辑,混剪,经典",【女性/混剪/一点色气】对不起，我下贱了,447981
一个只想打游戏的懒狗,10318,835,34292,82859057,36004,44,影视,540,1005022,2666,"影视混剪,萝莉,影视剪影,混剪,电影,颜值,视频剪辑,美剧,剪辑,暗黑,少女,电影剪辑",[欧美暗黑少女混剪]你该如我想象般完美,320224
切粒粒,25967,4276,36093,86783152,35446,43,影视,1494,1028522,8083,"博君一肖,王一博,肖战,CP,多情种,同人,自制,全能打卡挑战",【博君一肖】「年度巨制·多情种」双向暗恋，甜虐交织 | 入戏太深，总会动情,247168
丸子叨叨叨,79425,5512,21213,84519559,99481,42,影视,3682,1037032,1862,"影评,全能打卡挑战,舞法天女,影视解说,辣眼,舞法天女朵法拉,搞笑,吐槽,影视杂谈,烂片",舞 法 天 女,700217
墨尔本杜雨洁,41786,19729,17168,88560729,56817,41,影视,15057,1064734,8738,"寄生虫,bilibili新星计划,韩国,奥斯卡,影评杂谈",为何有中国观众get不到《寄生虫》？中国电影离奥斯卡还有多远？被忽略的中韩价值观差异[中020],1186373
纸条少年,50882,18146,89237,79131438,103648,40,影视,1851,1092009,17432,"影视混剪,影视剪辑,青春,考研加油站,混剪,你的答案",高能混剪《你的答案》，相信你终会越过黑暗，扬起梦想的帆！,1619330
天涯思心常为君,15319,2223,31584,84560595,28793,39,影视,1296,1094469,8393,"孙艺珍,假如爱有天意,韩国女神,美人,初恋,心动的感觉",【孙艺珍】韩国清纯系女星的颜值天花板，是让人恋爱的感觉！,542372
再说一遍不是俺,7690,1546,38557,87882647,37663,38,影视,535,1101285,4033,"肖战,王一博,魏无羡,蓝忘机,陈情令,影视剪影",来品一品来自外网令牌们的作品 全程震撼【陈情令混剪】｜肖战｜王一博｜汪卓成｜于斌｜,406748
柚剩剩,22360,3212,33830,84245367,38132,37,影视,1798,1116705,23675,"撒野,许光汉,宋威龙,想见你,bilibili新星计划,资深少女的初恋,小说剪辑",【巫哲原著《撒野》】顾飞 | 许光汉 | |蒋丞| 宋威龙,504949
北镇抚司剪刀手,39387,2197,36329,84795773,50898,36,影视,834,1157011,6195,"任嘉伦,锦衣之下,谭松韵,说书人,踩点,六元一斤虾,bilibili新星计划",【一下夫妇 | 说书人 | 高能踩点】各位看官，你细听分说 | 陆绎 x 袁今夏,373257
扬十一灬,35384,693,42183,83759627,57908,35,影视,785,1173544,2956,"刘亦菲,章子怡,周迅,bilibili新星计划,东方,王丽坤,东方混剪,舞,踩点",“既做头牌  有何能耐——”_赠（_橙壹）,479961
阿斗归来了,131661,11047,22927,87812131,113016,34,影视,2059,1189559,1366,"电影解说,魔戒,霍比特人,指环王",【阿斗】IMDb排名第7！史诗的终章！详细解说《指环王3王者归来》一个时代结束了,754747
摩西賣飛佛,16513,9219,35550,86111970,41932,33,影视,2101,1219980,11489,"影视混剪,任嘉伦,张若昀,易烊千玺,陈伟霆,钟汉良,许凯,严屹宽,军装,军阀,混剪",【处处吻×军装男神群像】白嫖？姐妹快进来馋身子！,654278
shhher,22920,5247,43185,83579975,52983,32,影视,1628,1230134,17164,"任嘉伦,锦衣之下,谭松韵,一下夫妇,高甜,吻戏",甜爆了！！【全程高甜】锦衣之下之未播高甜心动+吻戏糖点合集！！！你们两个甜死我算了！！！不用管我！！！！,1184139
Ulrica_Yu,37319,8070,41990,84928146,36257,31,影视,1942,1251443,10400,"博君一肖,王一博,肖战,蓝忘机,魏无羡,陈情令,剧版忘羡,魔道祖师,影视剪辑,电视剧",【陈情令|剧版忘羡|博君一肖|饭制大电影】《老祖回魂》上篇,334820
犬来八荒w,60013,5103,29807,17514075,92934,30,影视,3359,1297888,8480,短片,犬来八荒| 川西旅拍视频,1532054
小片片说大片,60186,4027,32637,84449853,79590,29,影视,1336,1328212,3308,"想见你,全能打卡挑战,犯罪,烧脑,校园,悬疑,爱情,校园欺凌,许光汉,剧情",【片片】高能反转！校园欺凌惊现杀人血案！我来修修你们的脑子！爆肝解说9分华剧之光《想见你》,907347
木鱼水心,74872,11466,29623,86869317,78095,28,影视,3282,1349713,16032,"请回答1988,影视鉴评挑战,木鱼水心,韩剧,电视剧,经典,影视剪影,电影剪辑,木鱼微剧场",【木鱼微剧场】《请回答1988》最好的韩剧，刷N遍依然感动（P1）,1052912
章鱼猫Octocat,26629,8534,25314,84497104,186990,27,影视,1943,1360804,4941,"全能打卡挑战,诸葛大力,爱情公寓,爱情公寓5,影视剪影,恋爱,高甜",别馋了！进来和诸葛大力谈个恋爱！,2847273
若浪云溪,28594,3615,37267,87312373,69994,26,影视,2196,1367065,31381,"中国医生,中山大学,帅哥,剪辑,纪录片,素人帅哥",【处处吻 / 徐晔】28岁医学博士，帅到病人成为粉丝,873561
刘老师说电影,83429,7421,26875,84138372,97430,25,影视,2612,1368112,18032,"想见你,刘老师说电影,全能打卡挑战,许光汉,悬疑,烧脑,爱情,李子维",【刘老师】解说疯狂反转嗷嗷上头的高分烧脑爱情悬疑剧《想见你》,1194834
